Название;Стоимость;Стихия;Тип камня;Страна;Легендарность;Суть
Облачный Лук;500 сс;Воздух;Нет;Светонар;Эпическая;Вы можете уничтожить любой артефакт, принадлежащий вам: если вы это делаете, вы получаете способность к полету на один час. Любое существо, получившее урон от этого лука, лишается способности к полету на один час.
Световая броня;125-200-175-100;Воздух;Скайерит;Светонар;Легендарная;Убитая вами нежить не может быть восстановлена, наложенное вами на демона «Святое слово» с некоторым шансом обездвижит его. Также на вас не действуют все заклинания Тьмы (кроме Древних), и вы игнорируете первые три удара, нанесенные вам в бою. 
Барьерный щит;750 сс;Воздух;Скайерит;Светонар;Легендарная;Создает барьер, непроходимый для нежити и демонов. В любой момент можно убрать барьер и переместить его в другое место.
Лучевой Лук;1000 сс;Воздух/Огонь;Тернит;Светонар;Мифическая;Этот лук стреляет лучами чистого света, проходящими сквозь любую прозрачную преграду, а также решетки и т.д. При попадании в объект от общего урона ему зачисляется 50% физического урона и 50% стихийного урона от магии Огня. Этот лук в состоянии пробить любое существо не выше 15-ого уровня.
Магический Излучатель;2000 сс;Воздух/Вода;Тернит;Светонар;Мифическая;Продлевает действие всех камней в два раза. При этом этот предмет разряжается после того, как у вас разрядилось пять предметов.
Кольцо Хрустального Сияния;Не продается;Воздух;Тернит х2;Светонар;Единственная;На вас не действуют никакие заклинания Тьмы, Хаоса, Огня и Земли. Вы можете уничтожить любого демона или нежить на поле боя: если вы это делаете, вы получаете все его характеристики, бонусы, вещи и умения на время боя, а также контроль над его армией, если она есть. После этого предмет разряжается.
Посох Хрустального Сияния;Не продается;Воздух;Тернит х2;Светонар;Единственная;Вы можете телепортироваться в любое ранее посещенное вами место. Вы можете делать это в любой момент. На вашем прежнем месте нахождения накладываются заклинания «Святое слово» и «Буря Возмездия».
Амулет «За три копейки»;25 сс;Вода/Жизнь;Нет;Аэлатон-Аэлар-Иссалар;Обычная;Не дает никаких бонусов. Если его уничтожить, дает +500% к урону, +500% к магическому урону, но при этом оставляет 1% от здоровья, защиты и магической защиты. Действует этот эффект ровно одну минуту, после чего вы получаете случайное положительное заклинание на один час, и можете заплатить 25 сс в любое время, чтобы получить новый амулет. Уничтожить амулет возможно только с помощью умений или других вещей/артефактов. 
Амулет «За три рубля»;25 сс;Вода/Жизнь;Нет;Аэлатон-Аэлар-Иссалар;Обычная;Не дает никаких бонусов. Если его уничтожить, дает +500% к защите, +500% к магической защите, но при этом оставляет 1% от атаки и магической атаки. Действует этот эффект ровно одну минуту, после чего вы получаете случайное положительное заклинание на один час, и можете заплатить 25 сс в любое время, чтобы получить новый амулет. Уничтожить амулет возможно только с помощью умений или других вещей/артефактов.
Дешевое кольцо из меди;50 сс;Вода/Жизнь;Нет;Аэлатон-Аэлар-Иссалар;Обычная;При использовании абсолютно обездвиживает вас, но дает +500% к реакции. Действует столько, сколько вы хотите.
Дешевое кольцо из олова;50 сс;Вода/Жизнь;Нет;Аэлатон-Аэлар-Иссалар;Обычная;При использовании практически сводит к нулю вашу реакцию, но дает +500% к скорости. Действует столько, сколько вы хотите.
Зелье Видимости (1);150 сс;Вода/Жизнь;Нет;Аэлатон-Аэлар-Иссалар;Редкая;При его применении вы можете видеть любые объекты, обладающие Скрытностью (кроме Древней) и Невидимостью.
Зелье Берсерка (1);150 сс;Вода;Нет;Аэлатон-Аэлар-Иссалар;Редкая;Если бросить это зелье в любое существо под заклинанием «Берсерк», оно будет считать себя ближайшей целью для атаки.
Ежегодный журнал «Все есть формы воды»;200 сс;Вода;Нет;Аэлатон-Аэлар-Иссалар;Редкая;Вы купили вечную подписку на этот журнал! Теперь вы можете поменять стихию любого предмета на стихию Воды (тоже навсегда).
Арбалет из сапфира;300 сс;Вода;Нет;Аэлатон-Аэлар-Иссалар;Эпическая;Этот арбалет не тратит болты при стрельбе, при этом все болты еще и несут заклинание «Замедление».
Ржавая броня;35-60-55-25;Вода;Нет;Аэлатон-Аэлар-Иссалар;Эпическая;Любой меч, который пробьет эту броню, заржавеет (если выполнен из ржавеющих материалов).
Лук из железных водорослей;500 сс;Вода;Нет;Аэлатон-Аэлар-Иссалар;Эпическая;Этот лук не тратит стрелы при стрельбе, при этом все болты еще и несут заклинание «Ледяная глыба».
Дыхание Подводного Дракона;500 сс;Вода/Жизнь;Вателит;Аэлатон-Аэлар-Иссалар;Легендарная;Все ваши положительные заклинания становятся массовыми, а отрицательные теперь бьют по площади. Все заклинания стоят вдвое дороже, предмет не действует на Древнюю Магию.
Обломок легендарного корабля;750 сс;Вода;Вателит;Аэлатон-Аэлар-Иссалар;Легендарная;Вы получаете все дополнительные навыки, которые могли бы изучить так долго, пока носите этот предмет вместо магического посоха/волшебной палочки или меча/лука/арбалета.
Броня Бушующего Водопада;125-200-175-100;Вода/Жизнь;Азурит;Аэлатон-Аэлар-Иссалар;Мифическая;Вы не получаете урон от падения, горения или отравления.
Меч Подводной Ярости;2000 сс;Вода;Азурит;Аэлатон-Аэлар-Иссалар;Мифическая;Вы можете проклясть любую цель. Если вы это делаете, она начинает получать сильный урон от Воды и заклинаний Воды, а предмет разряжается. Чтобы избавиться от этого проклятия, необходимо подвергнуться крайне сильному действию Драконового или Адского Огня, но не раньше чем через три дня после применения проклятия.
Щит Могучего Океана;Не продается;Вода;Азурит х2;Аэлатон-Аэлар-Иссалар;Единственная;На вас не действуют все атаки, непосредственно связанные с физическим уроном (кроме Древних навыков). Если вы пользуетесь этим навыком, ваша магическая защита снижается вдвое.
Хлыст Могучего Океана;Не продается;Вода;Азурит х2;Аэлатон-Аэлар-Иссалар;Единственная;При ударе лишает броню всех ее свойств, а цель всех бонусов к защите и магической защите. Если битва происходит на берегу водоема или в дождь, с помощью этого оружия вы можете обездвижить любую цель, наложить на нее любое известное вас заклинание Воды без траты манны, а также вы получаете возможность наложить специальное заклинание за всю вашу манну, которое позволяет вам получить абсолютную невосприимчивость к атакам цели.
Золотой меч;50 сс;Вода/Огонь;Нет;Пиканатор;Обычная;При яркой солнечной погоде увеличивает ваши заклинания Огня на 50%.
Золотой щит;50 сс;Вода/Огонь;Нет;Пиканатор;Обычная;При яркой солнечной погоде увеличивает вашу защиту от заклинаний Воды на 50%.
Золотой лук;50 сс;Вода/Огонь;Нет;Пиканатор;Обычная;При яркой солнечной погоде увеличивает урон от лука на 50%.
Золотой посох;50 сс;Вода/Огонь;Нет;Пиканатор;Обычная;При яркой солнечной погоде увеличивает стихийный урон на 50%.
Прочный корабль;100 сс;Вода;Нет;Пиканатор;Редкая;Хороший, прочный корабль.
Лук Тихой Гавани;150 сс;Вода;Нет;Пиканатор;Редкая;Во время битвы у берега водоема получает случайное зачарование.
Сабля Семи Морей;200 сс;Вода;Нет;Пиканатор;Редкая;Во время битвы на корабле дает +100% к нападению и +50% к защите.
Элитная шхуна;250 сс;Вода;Нет;Пиканатор;Эпическая;Этот корабль крайне тяжело потопить, он выдерживает прямое столкновение со скалами.
Сабля Морской Пучины;250 сс;Вода;Нет;Пиканатор;Эпическая;Каждое убитое этой саблей существо продлевает эффект Подводного Дыхания, Ночного Зрения и Скорости на 10 минут, а также восстанавливает 10 единиц манны.
Меч из рога нарвала;500 сс;Вода;нет;Пиканатор;Эпическая;Наносит вдвое больший урон мерфолкам, амфибиям и остальным водным существам.
Легендарная бригантина;750 сс;Вода;Вателит;Пиканатор;Легендарная;Этот корабль невозможно поджечь или потопить заклинанием, он выдерживает прямое столкновение со скалами.
Бриллиантовый посох;1000 сс;Вода/Воздух;Вателит;Пиканатор;Легендарная;При его применении все морские существа лишаются своих преимуществ на время боя.
Усмиритель стража;1500 сс;Вода/Земля;Аэталит;Пиканатор;Мифическая;Любой страж сокровищ, который не является их обладателем, может с некоторым шансом не трогать вас (зависит от вашего уровня и уровня стража).
Плутовская Перчатка;2000 сс;Вода/Земля;Вателит х5;Пиканатор;Мифическая;Дает -20% к стоимости всех вещей на Рынке и -10% к стоимости всех остальных  вещей.
Корона Сияющего Золота;Не продается;Вода;Аэталит х2;Пиканатор;Единственная;Удваивает действие Плутовской Перчатки. Любое существо из вашей армии никогда вас не предаст, более того, вы можете нанимать существ в армию абсолютно без траты денег. Вы можете в любой момент заплатить некоторую сумму, чем она больше, тем больше преимуществ вы получите в бою. На вас не действует Плутовство, а также вы становитесь невосприимчивы ко всем вещам, которые были куплены менее дня назад.
Перчатки Сияющего Золота;Не продается;Вода;Аэталит х2;Пиканатор;Единственная;Вы можете накладывать заклинание «Принужденное Подчинение» за деньги: чем больше денег, тем больше шанс успеха (существо не выше 15-ого уровня и герой уровня ниже вашего). Вы не тратите на это манну. После окончания действия заклинания вы можете украсть любые бонусы у цели, а также забрать у нее одну вещь редкости не более Л. Если вы обладаете Короной Сияющего Золота, вы можете держать под действием Принужденного Подчинения число целей, равное вашему уровню (вне зависимости от их силы).
Эльфийский амулет;25 сс;Жизнь;Нет;Лайтолярд;Обычная;Вы получаете заклинание «Союз с природой» на уровне 3-его круга Магии Жизни. Если вы имеете его на этом круге или выше, вы получаете его на пятом круге.
Лесной лук;50 сс;Жизнь;Нет;Лайтолярд;Обычная;+50% к атаке.
Лесной щит;50 сс;Жизнь;Нет;Лайтолярд;Обычная;+50% к защите.
Лесной посох;50 сс;Жизнь;Нет;Лайтолярд;Обычная;+25% к количеству призванных существ.
Яркий факел;100 сс;Жизнь;Нет;Лайтолярд;Редкая;Пока вы или кто-либо рядом (кроме соперников) не используете заклинания магии Тьмы, вы получаете -80% урона от магии Тьмы (кроме Древних).
Броня светлой ели;35-60-50-25;Жизнь;Нет;Лайтолярд;Редкая;+50% к магии Света, +50% к магии Воздуха.
Кольцо эльфа;200 сс;Жизнь;Нет;Лайтолярд;Редкая;Вы имеете небольшой шанс отразить любой удар.
Лук Леса;250 сс;Жизнь;Нет;Лайтолярд;Эпическая;Игнорирует зачарования вражеской брони и щита.
Ботинки Проворного Ветра;500 сс;Жизнь;Нет;Лайтолярд;Эпическая;Вы получаете бонус +100% к скорости и реакции, а также +50% к нападению и заклинаниям Жизни и Воздуха, пока находитесь на местности, покрытой травой.
Перчатки Проворного Всадника;500 сс;Жизнь;Нет;Лайтолярд;Эпическая; Любая лошадь получает +100% к дальности передвижения, а также автоматически получает боевую магию.
Броня из коры Древнейших Деревьев;75-150-125-50;Жизнь;Скайерит;Лайтолярд;Легендарная;Вы получаете заклинание, с помощью которого можете за 1 единицу манны вызывать Росянку, а за 3 единицы – энта. Все заклинания Воздуха получают +100% к эффективности.
Лагровновая кислота;1000 сс;Жизнь;Скайерит;Лайтолярд;Легендарная;Стрелы или мечи, смазанные этой кислотой, игнорируют любые галворновые вещи, и все вещи с их свойствами (бонус к защите только для определенного вида оружия). Проще говоря, снимает все негативные эффекты, относящиеся только к определенному виду оружия.
Древнейший Словарь;2000 сс;Жизнь;Скайерит х2;Лайтолярд;Мифическая;Вы получаете возможность общаться абсолютно со всеми разумными существами и читать послания на любых языках.
Лук Преображения;2000 сс;Жизнь;Скайерит х2;Лайтолярд;Мифическая;Вы можете сменить свою фракцию на светлого эльфа на любой срок. Если вы это делаете, лук разряжается.
Плащ Яркой Рощи;Не продается;Воздух/Жизнь;Аэлатон;Лайтолярд;Единственная;Вы получаете навык Дипломатии на уровне, значительно превосходящем все возможные при общении со всеми существами, кроме нежити и демонов (на них просто эффект +50%). Также вы полностью защищены от стрел и болтов. Заклинание «Чудесное спасение» теперь воскрешает после абсолютно любых повреждений, и срока не более месяца (вместо одного-двух часов). Заклинание «Сила Дракона» получает +200% к эффективности. Заклинание «Ярость Природы» вызывается с утроенным количество призванных существа.
Лук Яркой Рощи;Не продается;Воздух/Жизнь;Аэлатон;Лайтолярд;Единственная;Все ваши стрелы невозможно отразить, сбить с цели заклинанием или предметом. Любой демон или нежить не выше 10 уровня со 100% шансом погибает от выстрела.
Мрачный меч;50 сс;Земля;Нет;Туриверия;Обычная;+50% урона по существам фракций стихии Жизни. 
Мрачный лук;50 сс;Земля;Нет;Туриверия;Обычная;Если вы обладаете Скрытностью на более высоком уровне, чем стрельбой из лука, ваша стрельба из лука автоматически становится того же уровня ,если вы в этот момент пользуетесь этим луком.
Мрачный щит;50 сс;Земля;Нет;Туриверия;Обычная;-50% к магии Воздуха.
Мрачный посох;100 сс;Земля;Нет;Туриверия;Обычная;Все ваши соперники не могут использовать заклинания «Луч света», «Точность» и «Следопыт». Также +50% к магии Земли и Тьмы.
Амулет из серого кварца;100 сс;Вода/Земля;Нет;Туриверия;Редкая;Вы можете пожертвовать любое существо в своей армии. Если вы это делаете, вы получаете бонус к магическому урону в зависимости от уровня существа.
Броня Серого Неба;35-60-50-25;Вода/Земля;Нет;Туриверия;Редкая;-75% к магии Воздуха.
Зелье Болотного Смрада (1);200 сс;Вода/Земля;Нет;Туриверия;Редкая;Если его бросить, создаст облако, зайдя в которое, соперник получит три случайных негативных эффекта. Если его выпить, вы сможете накладывать все заклинания Земли не выше 4 уровня на площадь (они будут распространятся в некотором радиусе).
Свиток Тумана (1);250 сс;Вода/Земля;Нет;Туриверия;Эпическая;Вы становитесь невидимыми для всех предметов, существ и героев, пытающихся получить ваше местоположение (кроме единственных).
Обломок древнего метеорита;500 сс;Земля;Нет;Туриверия;Эпическая;+200% к магии Огня.
Анти-Броня;75-125-100-50;Вода/Земля;Нет;Туриверия;Эпическая;Одевается поверх другой брони. Броня соперника становится столь же сильной, как и броня, одетая на вас (кроме единственной).
Седло Обретенной Свободы;1000 сс;Вода/Земля;Вателит;Туриверия;Легендарная;Лошадь, на которой вы едете, получает способность к полету и быстрой регенерации здоровья.
Сфера Тайного;1000 сс;Вода/Земля;Ирсанит;Туриверия;Легендарная;Вы можете выучить любой дополнительный навык, после чего сфера разряжается.
Меч Первородной Ярости;2000 сс;Земля;Вателит х2;Туриверия;Мифическая;Чем меньше у вас здоровья, тем больший урон вы наносите. Если у вас осталось меньше 10% здоровья, вы получаете все Атанорские навыки и заклинания, а также получаете огромные прибавки ко всем вашим характеристикам. Заклинание «Берсерк», наложенное вами, может (по вашему желанию) не усилить противника, а ослабить, и все снятые с него характеристики будут прибавлены вам.
Посох Крика;2000 сс;Земля;Ирсанит х2;Туриверия;Мифическая;Все заклинания Разума, наложенные вами, действуют неограниченно долго, +100% к их эффективности. Все заклинания Магии Земли также не могут быть отражены другими заклинаниями или навыками.
Перчатки Древнего Тумана;Не продается;Вода/Земля;Аэталит ;Туриверия;Единственная;Вы можете превратиться в любого убитого вами соперника на неограниченный срок. Если это существо, вы получаете абсолютно все его характеристики. Если это герой, вы получаете все его характеристики только если его уровень был не выше вашего, в противном случае часть его характеристик будет утеряна.
Арбалет Древнего Тумана;Не продается;Вода/Земля;Аэталит;Туриверия;Единственная;При попадании в противника есть шанс, что он будет полностью дезориентирован. Если соперник был убит с помощью этого оружия, только вы можете забрать его вещи.
Меч из островного железа;50 сс;Огонь/Земля;Нет;Инсантарлон;Обычная;Вы наносите в два раза больший урон по существам первого и второго уровня.
Щит из островного железа;50 сс;Огонь/Земля;Нет;Инсантарлон;Обычная;Вы получаете в два раза меньший урон от существ первого и второго уровня.
Броня из островного железа;10-30-20-10;Огонь/Земля;Нет;Инсантарлон;Обычная;Вы призываете в два раза больше существ первого уровня.
Ядовитый Посох;100 сс;Земля;Нет;Инсантарлон;Обычная;Все ваши яды действуют в три раза быстрее/медленнее (по вашему выбору).
Меч Крови;125 сс;Земля;Нет;Инсантарлон;Редкая;Вы можете покрыть этот меч зельем – меч будет с некоторым шансом при удачном ударе накладывает эффект этого зелья.
Арбалет Крови;150 сс;Земля;Нет;Инсантарлон;Редкая;Вы можете покрыть этот арбалет зельем – выстрел будет с некоторым шансом при удачном попадании накладывать эффект этого зелья.
Посох Крови;200 сс;Земля;Нет;Инсантарлон;Редкая;Приготовленное вами зелье получает +25% к характеристикам.
Зелье из Пяти Эссенций;250 сс;Огонь/Земля;Нет;Инсантарлон;Эпическая;Вы получаете все положительные эффекты первых пятнадцати зелий в списке.
Броня смертельных пчел;75-125-100-50;Земля;Нет;Инсантарлон;Эпическая;Все призванные существа, наносящие вам урон, сами получают некоторый урон.
Меч смертельных пчел;500 сс;Земля;Нет;Инсантарлон;Эпическая;Каждый удар отнимает 10% оставшегося здоровья вне зависимости от нанесенного урона, если удар не был заблокирован.
Зелье из Десяти Эссенций (1);750 сс;Огонь/Земля;Инфлеймит;Инсантарлон;Легендарная;Вы получаете все положительные эффекты всех зелий, кроме пяти последних в списке.
Щит с изображением Кровавой Ладони;750 сс;Огонь/Земля;Инфлеймит;Инсантарлон;Легендарная;Любой заблокированный этим щитом удар отнимает у соперника 10% оставшегося здоровья вне зависимости от нанесенного им урона.
Изничтожитель Неверных;1000 сс;Огонь/Земля;Авгит;Инсантарлон;Мифическая;Медленно наносит урон сопернику. Невозможно ничем отразить.
Кровавый жезл;1000 сс;Огонь/Земля;Авгит;Инсантарлон;Мифическая;Вы получаете 50% здоровья, которое вы потратили противнику. Получаете 50% всей манны, потраченной противником. Соперник не может использовать заклинания Призыва, а также не может применять исцеляющие заклинания, зелья и предметы.
Броня Несметного Полчища;Не продается;Огонь/Земля;Авгит х2;Инсантарлон;Единственная;Вы имеете возможность наложить особое заклинание, которое перенаправляет весь урон, наносящийся вам на существо из своей армии.
Кольцо Несметного Полчища;Не продается;Огонь/Земля;Авгит х2;Инсантарлон;Единственная;Чем больше ваша армия, тем больше характеристики ее нападения и защиты. Ваша армия получает возможность путешествовать вдвое быстрее. Также вы можете призывать копии 50% воинов из армии: они исчезнут после конца боя.
Зелье Холодного Огня (1);50 сс;Земля;Нет;Плазмульстан;Обычная;+50% к магии Воды, -50% к магии Огня. +25% к защите и магической защите.
Зелье Горячего Льда (1);50 сс;Земля;Нет;Плазмульстан;Обычная;+50% к магии Огня, -50% к магии Воды. +25% к нападению и магическому урону.
Легкая броня;10-20-15-5;Земля;Нет;Плазмульстан;Обычная;+50% к магии Воздуха, -50% к магии Земли. +25% к защите и магической защите.
Амулет легкости;100 сс;Земля;Нет;Плазмульстан;Обычная;+50% к магии Воздуха, -50% к магии Земли. +25% к нападению и магическому урону.
Раскаленный меч;150 сс;Земля;Нет;Плазмульстан;Редкая;Каждое убитое существо имеет шанс взорваться с заклинанием «Лавовая лужа» и «Драконовый огонь».
Раскаленный лук;200 сс;Земля;Нет;Плазмульстан;Редкая;Каждое убитое существо имеет шанс взорваться с заклинанием «Огненная стрела» и «Призыв огненного элементала». Элементал будет сражаться на вашей стороне.
Раскаленный щит;250 сс;Земля;Нет;Плазмульстан;Редкая;Вы можете уничтожить этот щит. Если вы это делаете, вы получаете заклинание «Огненное возмездие», усиленное на 200%, которое невозможно отразить до конца боя.
Плазменное кольцо;300 сс;Земля/Жизнь;Нет;Плазмульстан;Эпическая;Все заклинания несут одновременно стихийный урон льдом и огнем, зависящий от силы и уровня заклинания.
Плазменный жезл;300 сс;Земля/Жизнь;Нет;Плазмульстан;Эпическая;Вы можете уничтожить свою броню. Если вы это делаете, вы получаете броню вдвое лучшую на время боя.
Броня из плазменных пластин;125-200-175-100;Земля/Жизнь;Нет;Плазмульстан;Эпическая;+100% к магии Огня и к стихийному урону Огня, а также невосприимчивость к магии Хаоса, Огня и Воды (кроме Древних).
Плазменный меч;500 сс;Земля/Жизнь;Ирсанит;Плазмульстан;Легендарная;Игнорирует броню, если она хуже, чем ваша. Также +100% к стихийному урону и +50% к существам, умеющим атаковать водой/льдом или огнем/лавой.
Плазменный арбалет;750 сс;Земля/Жизнь;Ирсанит;Плазмульстан;Легендарная;Игнорирует броню, если она хуже, чем ваша. Также +100% к стихийному урону и +50% к существам, умеющим атаковать водой/льдом или огнем/лавой.
Броня Горячей Плазмы;250-500-350-150;Земля/Жизнь;Апавит;Плазмульстан;Мифическая;Любой герой, атакующий вас, автоматически лишается части навыков.
Универсальное Плазменное Оружие;2000 сс;Земля/Жизнь;Апавит;Плазмульстан;Мифическая;Работает одновременно как меч, лук, щит, арбалет и магический посох (из неразрушимого сплава). При этом это оружие нельзя уничтожить или украсть.
Посох Неведомой Силы;Не продается;Земля/Жизнь;Апавит х2;Плазмульстан;Единственная;Ваши заклинания абсолютно невозможно отразить.
Броня Неведомой Силы;Не продается;Земля/Жизнь;Апавит х2;Плазмульстан;Единственная;Вы можете заблокировать абсолютно любой удар. Если он отнял бы вам процентов здоровья, вы тратите k/2 манны (округленных вверх). На вас не действует стихийный урон, урон от любого оружия с обычными или редкими зачарованиями или вообще без зачарований.
Меч из темного камня;25 сс;Земля;Нет;Сартакан-Идар;Обычная;+50% к урону по светлым фракций.
Щит из темного камня;25 сс;Земля;Нет;Сартакан-Идар;Обычная;+50% к защите от светлых фракций.
Камень из Темной Долины;50 сс;Земля;Нет;Сартакан-Идар;Обычная;+50% к магии Земли, и еще +50% к заклинанию «Проклятие войск».
Броня из черного металла;10-25-20-5;Земля;Нет;Сартакан-Идар;Обычная;+50% к магии Земли. -25% урона от живых существ.
Меч Тьмы;100 сс;Земля;Нет;Сартакан-Идар;Редкая;Попадание этого меча отменяет все чары и эффекты, направленные на регенерацию. Заживление ран становится более затруднительным.
Лук Тьмы;125 сс;Земля;Нет;Сартакан-Идар;Редкая;Попадание стрелы, выпущенной из этого лука отменяет все чары и эффекты, направленные на регенерацию. Заживление ран становится более затруднительным.
Посох Тьмы;200 сс;Земля;Нет;Сартакан-Идар;Редкая;Вы можете отменить все положительные чары и эффекты зелий, направленные на цель. При этом вы должны заплатить половины манны, на которую были наложены эти эффекты (положительный эффект от зелья стоит в зависимости от силы зелья).
Кодекс некроманта;250 сс;Земля;Нет;Сартакан-Идар;Эпическая;Вы получаете возможность использовать некромантию.
Кольцо с темным кристаллом;300 сс;Земля;Нет;Сартакан-Идар;Эпическая;Стоимость всех заклинаний магии Земли снижена вдвое.
Броня из темного камня;150-200-150-100;Земля;Нет;Сартакан-Идар;Эпическая;Вы игнорируете все заклинания Света и Жизни (кроме Древних), если это не влияет не вас в положительную сторону.
Меч Непроглядной тьмы;500 сс;Земля;Ирсанит;Сартакан-Идар;Легендарная;Существо, раненное этим мечом, начинает постепенно превращаться в нежить, если только на него не будет направлено заклинание «Святое слово» достаточной силы.
Пятитемная книга;750 сс;Земля;Ирсанит;Сартакан-Идар;Легендарная;Вы получаете возможность использовать некромантию, призывая существ большего уровня, чем цель.
Амулет Духовной Связи;1000 сс;Земля;Апавит;Сартакан-Идар;Мифическая;Вы выбираете одну цель во время боя. Чем больше по этой цели нанесено урона, тем больше манны вы получаете. 
Посох Первозданного Некроманта;2000 сс;Земля;Апавит;Сартакан-Идар;Мифическая;Вы получаете возможность поднимать героев при помощи некромантии. При этом они теряют все свои вещи, навыки и уровни.
Плащ Темной Магии;Не продается;Земля;Апавит х2;Сартакан-Идар;Единственная;Если вы убили вашего соперника, вы можете перезарядить этот предмет. Если вы это делаете, он превращается в нежить и начинает вам служить, при этом он теряет все свои вещи и половину уровней и навыков. Вы невосприимчивы ко всем зельям. Вся нежить наносит вам лишь половину урона, а любое живое существо, атакующее вас, получает заклинание «Скорбь», усиленное на 200%, а также лишается всех эффектов, выданных ему из-за его участия в какой-либо армии.
Жезл Темной Магии;Не продается;Земля;Апавит х2;Сартакан-Идар;Единственная;Вы можете воскрешать абсолютно неограниченное количество нежити.
Покупка любого товара;Различается;Нет;Нет;Матан;Редкая;Покупка любого товара с наценкой (от 20% до 50% в зависимости от товара).
Меч Первозданного Могущества;Не продается;Нет;Аэталит,Аэлатон;Нет;Единственная;Это самый сильный меч в Псевдоноре. Им можно владеть только при достижении 45 уровня. Дает возможность наносить удары такой силы, что они могут сломать даже городские ворота. Этот предмет невозможно уничтожить.
Лук Первозданного Могущества;Не продается;Нет;Аэталит,Аэлатон;Нет;Единственная;Это самый сильный лук в Псевдоноре. Им можно владеть только при достижении 45 уровня. Дает возможность производить выстрелы такой силы, что они могут пробить что угодно. Этот предмет невозможно уничтожить.
Щит Первозданного Могущества;Не продается;Нет;Аэталит,Аэлатон;Нет;Единственная;Это самый сильный щит в Псевдоноре. Им можно владеть только при достижении 45 уровня. Дает возможность такой эффективной защиты, что об этот щит ломаются даже самые крепкие мечи. Этот предмет невозможно уничтожить.
Броня Первозданного Могущества;Не продается;Нет;Аэталит,Аэлатон;Нет;Единственная;Это самая сильная броня в Псевдоноре. Ей можно владеть только при достижении 45 уровня. Дает возможность такой эффективной защиты, что на вас не действует большинство заклинаний и негативных эффектов. Этот предмет невозможно уничтожить.
